3121922.294497301,demonhunter,havoc,aldrachireaver,Staskyfel
3334623.7086010007,demonhunter,havoc,aldrachireaver,Staskyfel,4pc
3256051.8548112316,demonhunter,havoc,aldrachireaver,Staskyfel,2+2pc
117504.2516190427,mage,arcane,sunfury,Lizardmagik
117317.25277331973,mage,arcane,sunfury,Lizardmagik,4pc
117439.54653855976,mage,arcane,sunfury,Lizardmagik,2+2pc
3238469.5799762593,druid,balance,keeperofthegrove,Iridiumboomy
3422472.6106816605,druid,balance,keeperofthegrove,Iridiumboomy,4pc
3094844.442164871,druid,balance,keeperofthegrove,Iridiumboomy,2+2pc
378209.06986372545,priest,shadow,voidweaver,Haiikku
347734.68639561563,priest,shadow,voidweaver,Haiikku,4pc
366769.5284272382,priest,shadow,voidweaver,Haiikku,2+2pc
4602333.059154105,Assassination,DS
4602497.762913142,unknownclass,assassination,deathstalker,unknownname,4pc
4549734.959997261,unknownclass,assassination,deathstalker,unknownname,2+2pc
